sku,name,supplier,category,location,sort_order,unit,par_level,pack_size,order_qty_low,active
0001,Salted Crisps 150g,Northern Snacks Distribution,Crisps & Chips,Aisle A - Crisps,1,bag,20,12,,TRUE
0002,Cheese & Onion Crisps 150g,Northern Snacks Distribution,Crisps & Chips,Aisle A - Crisps,2,bag,20,12,,TRUE
0003,Milk Chocolate Bar 100g,Northern Snacks Distribution,Chocolate & Confectionery,Aisle A - Confectionery,1,bar,24,24,,TRUE
0004,Dark Chocolate Bar 100g,Northern Snacks Distribution,Chocolate & Confectionery,Aisle A - Confectionery,2,bar,18,24,,TRUE
0005,Digestive Biscuits 400g,Northern Snacks Distribution,Biscuits & Cookies,Aisle B - Biscuits,1,pack,10,6,,TRUE
0006,Salted Peanuts 200g,Greenfield Grocery Distributors,Nuts & Dried Fruit,Aisle B - Nuts,1,bag,12,12,,TRUE
0007,Cola Can 330ml,Continental Beverage Supply,Soft Drinks,Aisle C - Soft Drinks,1,can,48,24,,TRUE
0008,Orange Juice 250ml,Continental Beverage Supply,Juices & Smoothies,Aisle C - Juices,1,carton,24,12,,TRUE
0009,Still Water 500ml,Pinecrest Vending Supply,Water,Aisle D - Water,1,bottle,48,24,,TRUE
0010,Instant Coffee Jar 200g,Harborview Wholesale Foods,Coffee & Tea,Aisle E - Coffee & Tea,1,jar,8,1,,TRUE
